ID	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
GSM437153	0.0315236528105026	0.00794676733256358	0.123867190423997	0.0858002516169958	0.0900253671278826	0.00594626421722881	3.05011360371325e-10	0.654890506165819
GSM437154	0.0316591696055317	0.008503834494039	0.124507818547781	0.084317093832544	0.0937834519878777	0.00620685890882677	1.39890051879316e-11	0.651021772609411
GSM437155	0.0330502479566397	0.00880900912003167	0.142833644788278	0.085844550434031	0.093968980475953	0.0070498583812129	2.39410759464761e-08	0.628443684902778
GSM437156	0.0306775460544287	0.00851511677165001	0.140102522787317	0.0863569239276071	0.0912784312748759	0.00692290675680218	2.42564795078458e-10	0.636146552184755
GSM437157	0.030594782486131	0.00913027453501994	0.136024306063952	0.0857835360356869	0.0946213474579083	0.00731006409419733	2.17585747837067e-09	0.636535687151247
GSM437158	0.0295372087303538	0.00810477602147683	0.127498061894581	0.0829558609473627	0.0897624212506254	0.00634010766994651	2.24488001656264e-10	0.655801563261166
GSM437159	0.0311521157592352	0.00902772880887339	0.129009436842262	0.0859981750477074	0.0923025810884579	0.00672426296876458	7.69095955885414e-11	0.64578569940779
GSM437160	0.0308254877509702	0.00756102030940272	0.129365531274479	0.0841494862542515	0.0891659153992361	0.00641144988345269	4.80705571656519e-09	0.652521104321152
GSM437161	0.0329508084632146	0.00862410416354987	0.136547739842828	0.0870199546663751	0.09184224588263	0.00708218718529237	2.66145513446903e-10	0.635932959529964
GSM437162	0.0318281389562627	0.00866336791346706	0.12987995879908	0.0826441589856918	0.0928117480157435	0.00650071758758475	4.42356727629657e-11	0.647671909697935
GSM437163	0.0304765744562	0.00909283692588003	0.129007686953306	0.0847049800357048	0.0945566450641555	0.00714904228768583	3.481475026716e-10	0.645012233928921
GSM437164	0.0291618917585376	0.00848669640212102	0.12462182163808	0.0852244910505364	0.0898198084825377	0.005953581974937	2.67715860602116e-10	0.656731708425534
GSM437165	0.0310978382937814	0.00756798829259722	0.127212495257497	0.0846932312625255	0.0895648962658612	0.00614470332337427	1.50652799130862e-07	0.653718696651564
GSM437166	0.0295320954977272	0.00864049796967562	0.130994241350144	0.0927537102427925	0.0944087464798736	0.00687964178374995	1.45925749944559e-10	0.636791066530112
GSM437167	0.0297930536878864	0.00826481292321691	0.134761081596359	0.0877903301935091	0.0913315651398052	0.00676433065616681	1.05790928565716e-09	0.641294824745147
GSM437168	0.0298576308522315	0.00792187346112538	0.121942716439187	0.0841735961872923	0.0884396168971905	0.00641504899845648	1.3968742000368e-10	0.66124951702483
GSM437169	0.0303275739527193	0.0076788086333055	0.121928972805738	0.0822642254344801	0.0933679445069323	0.00662941166670527	1.43468526121477e-09	0.657803061565434
GSM437170	0.0307156833134184	0.00847098993147369	0.127337618510816	0.08224805579576	0.0923025566985158	0.00638571241629979	1.01249067951838e-09	0.652539382321225
GSM437171	0.0299562563637143	0.00869795237427163	0.14444113188175	0.0865324506110943	0.0940306008622717	0.00711708968420072	8.45497244620808e-11	0.629224518138148
GSM437172	0.0299126384793594	0.00829035343662881	0.127291593206615	0.0841877310220645	0.0905320351518564	0.0062949831984685	1.1267812726375e-09	0.653490664378226
GSM437173	0.0296822111853446	0.00899115099408961	0.126319507740731	0.0848679298686222	0.0909984181562944	0.00654921217776529	1.28894662908851e-09	0.652591568588206
GSM437174	0.0301297066560556	0.00931561264132555	0.12976104971794	0.0852083083322655	0.0934255417876752	0.00639635840551015	1.19461216462062e-10	0.645763422339767
GSM437175	0.0296735370605881	0.00936770088187966	0.135024091142841	0.0888336950630348	0.0951238162022798	0.00709607594765188	7.19581099487931e-10	0.634881082982144
GSM437176	0.0342218123732407	0.00827377503692214	0.135291316973169	0.0820920513343287	0.093483899401479	0.00635047207753694	1.43853113858671e-08	0.640286658418012
